magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
4.2,0,271,18.0,1.492,0.5,97.0,153.996,0
3.1,0,148,29.0,0.1,0.1,53.0,7.1085,0
2.2,0,74,13.0,0.543,0.42,98.0,10.0,0
3.8,0,222,35.0,5.642,0.59,113.0,421.1,0
3.0,0,138,17.0,0.919,0.35,259.0,10.0,0
4.3,0,284,36.0,2.149,0.78,127.0,10.0,0
6.2,0,591,142.0,5.98,0.64,15.0,18.0,1
6.0,0,889,191.0,2.137,0.67,19.0,16.0,1
1.6,0,39,19.0,0.0,0.1,67.0,7.5841,0
4.2,0,271,17.0,1.96,0.49,138.0,62.659,0
2.1,0,68,16.0,0.3,0.4,89.0,9.0483,0
5.3,0,432,91.0,1.962,0.77,80.0,48.422,0
2.38,0,92,44.0,0.0615,0.07,69.0,5.89,0
3.0,0,138,14.0,2.479,0.19,311.0,10.0,0
4.5,0,312,70.0,1.343,0.62,195.0,15.311,0
6.9,1,734,328.0,4.871,0.42,33.0,22.163,1
4.6,0,326,34.0,2.61,0.77,116.0,10.0,0
1.6,0,39,19.0,0.0,0.1,63.0,6.5686,0
2.7,0,113,7.0,0.1035,0.05,216.0,17.76,0
4.7,0,340,64.0,4.436,0.52,115.0,10.0,0
3.9,0,234,42.0,1.552,0.56,272.0,35.0,0
3.9,0,234,79.0,0.662,0.57,228.0,46.447,0
6.5,1,650,125.0,10.987,0.68,37.0,11.0,1
6.8,0,711,82.0,9.411,0.96,33.0,28.0,1
4.0,0,246,13.0,3.023,0.26,101.0,10.0,0
4.3,0,284,71.0,4.533,0.57,94.0,49.497,0
3.5,0,188,50.0,0.843,0.35,166.0,35.0,0
6.0,0,666,138.0,0.356,0.54,25.0,8.516,1
4.3,0,284,14.0,5.111,0.95,196.0,10.144,0
4.4,0,298,67.0,5.188,0.8,43.0,534.953,0
3.73,0,214,13.0,1.283,0.51,307.0,36.0,0
4.8,0,354,55.0,5.586,0.61,67.0,92.869,0
1.04,0,17,34.0,0.1574690992,0.26,54.0,12.11,0
5.4,0,449,75.0,6.216,0.51,39.0,10.0,0
4.5,0,312,81.0,4.669,0.89,80.0,46.877,0
6.5,0,652,156.0,4.647,0.9,34.0,31.0,1
